column,value,rows
HealthPlan,HomeFirst/Elderplan,673
HealthPlan,MVP Health Care,669
HealthPlan,HIP Health Plan of New York,622
HealthPlan,CIGNA Healthcare of NY,510
HealthPlan,"ElderServe Health, Inc./DBA RiverSpring Health",476
HealthPlan,VillageCareMAX,376
HealthPlan,Oscar Insurance Company,349
HealthPlan,Capital District Physicians' Health Plan Inc.,332
HealthPlan,Highmark,329
HealthPlan,"Integra MLTC, Inc.",323
HealthPlan,Independent Health,318
HealthPlan,"Senior Whole Health of New York, Inc",286
HealthPlan,Aetna Better Health of New York,220
HealthPlan,Univera Healthcare,211
HealthPlan,"Molina Healthcare of New York, Inc.",179
HealthPlan,Senior Health Partners,178
HealthPlan,Hamaspik Choice MLTC Plan,158
HealthPlan,GHI,148
HealthPlan,Healthnow,111
HealthPlan,Wellcare of NY,102
HealthPlan,Rochester Area School Health Plan II Municipal Cooperative Health Benefit Plan,97
HealthPlan,Community Blue,94
HealthPlan,Empire Healthchoice HMO Inc.,89
HealthPlan,ArchCare Community Life,89
HealthPlan,Beacon Health Options,83
HealthPlan,State Wide Schools Cooperative Health Plan Benefit Plan,82
HealthPlan,Guardian Life Ins. Co.,80
HealthPlan,EmblemHealth,73
HealthPlan,AgeWell New York,64
HealthPlan,"Amida Care, Inc.",47
HealthPlan,Nippon Life Insurance Company,33
HealthPlan,"Carelon Behavioral Health, Inc.",32
HealthPlan,Metropolitan Life,30
HealthPlan,"iCircle Services of the Finger Lakes, Inc.",29
HealthPlan,Nascentia HealthOptions,23
HealthPlan,Navitus Health Solutions,23
HealthPlan,CenterLight Healthcare Inc.,23
HealthPlan,Healthplex Ins. Co.,21
HealthPlan,Putnam/Northern Westchester Health Benefits Consortium,20
HealthPlan,Jefferson-Lewis School Employees Healthcare Plan,13
HealthPlan,Greater Tompkins County - Municipal Cooperative Health Benefit Plan,13
HealthPlan,Ameritas Life Insurance Company,12
HealthPlan,YourCare Health Plan,12
HealthPlan,Extended MLTC LLC,12
HealthPlan,Montefiore Diamond Care,10
HealthPlan,Principal Life Insurance Company,9
HealthPlan,Catskill Area School Employee Benefit Plan,8
HealthPlan,St. Lawrence-Lewis Health Benefits Consortium,8
HealthPlan,EverCare,8
HealthPlan,Wellfleet Insurance,6
HealthPlan,"Crystal Run Health Insurance Company, Inc.",5
HealthPlan,Physicians Mutual Insurance Company,5
HealthPlan,ArchCare Senior Life,5
HealthPlan,Sun Life and Health Insurance Co.,5
HealthPlan,Steuben Area School Employees' Benefit Plan,3
HealthPlan,Cayuga-Onondaga Area School Employees' Healthcare Plan,3
HealthPlan,Prime HealthChoice LLC,2
HealthPlan,Atlanta International Insurance Company,2
HealthPlan,NSLIJ Care Connect,2
HealthPlan,United Concordia Insurance Company of NY,2
HealthPlan,Lincoln Life and Annuity Co. of New York,2
HealthPlan,Orange-Ulster School Districts' Health Plan,2
HealthPlan,Delta Dental of NY,2
HealthPlan,Solstice Benefits,2
HealthPlan,Dentcare Delivery Systems Inc.,1
HealthPlan,Kalos Health,1
HealthPlan,"Niagara Advantage Health Plan, LLC d/b/a Elderwood Health Plan",1
DenialType,Medical Necessity,86228
DenialType,Experimental/Investigational,12662
DenialType,Formulary Exception,3939
DenialType,Urgent Care,768
DenialType,Step Therapy,77
DenialType,Out-Of-Network Service,6
AgeRange,50-59,27075
AgeRange,60+,18879
AgeRange,40-49,15982
AgeRange,30-39,12857
AgeRange,10-19,12504
AgeRange,20-29,8794
AgeRange,0-9,6904
AgeRange,Unknown,685
Gender,Female,58158
Gender,Male,44655
Gender,Unknown,685
Gender,Other,182
